company_name,market_cap,np_qtr,roce,debt_equity,eps_12m,promoter_holding,cmp_pcf,roe,pat_12m,opm,sales_growth_3y,profit_growth_3y,fii_holding,dii_holding,cap_category,sector,industry
Wheels India,1772.0,4327.72,58.81,18.83,0.74,63.44,58.31,22.57,15.79,155.01,7.55,5.6,41.02,1.15,Small Cap,Automobile and Auto Components,Automobile and Auto Components
Indegene,516.85,12426.36,79.7,18.82,0.05,16.65,0.0,24.65,14.41,414.58,17.63,15.03,15.93,10.27,Micro Cap,Healthcare,Healthcare
Resgen,49.8,104.46,6.16,18.8,0.02,4.86,66.98,0.0,16.27,10.2,19.05,0.0,0.0,0.0,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Supreme Petroch.,731.05,13738.41,168.04,18.79,0.05,17.41,64.24,168.07,14.11,324.59,9.72,0.32,-11.77,3.69,Micro Cap,Chemicals,Chemicals
Kaveri Seed Co.,905.75,4659.85,-27.81,18.79,0.0,57.51,60.5,57.54,18.17,295.84,24.15,9.31,11.11,18.55,Micro Cap,Agriculture,Agriculture
Ganesh Housing,765.3,6423.29,61.36,18.78,0.13,37.93,73.06,27.03,15.18,316.26,82.63,-6.0,45.75,0.7,Micro Cap,Realty,Realty
I O C L,139.18,196594.05,15176.08,18.78,0.6,29.81,51.5,7.04,20.74,42096.26,9.82,-2.32,62.6,9.84,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Asarfi Hospital,228.55,449.73,4.09,18.77,0.58,8.68,61.17,-40.64,18.98,17.08,20.5,36.03,28.71,0.0,Micro Cap,Healthcare,Healthcare
Aeroflex,469.0,6204.99,17.64,18.77,0.02,4.2,65.47,-241.81,14.06,55.53,22.57,17.93,19.61,1.49,Micro Cap,Capital Goods,Capital Goods
Vidhi Specialty,282.55,1412.2,13.29,18.76,0.18,9.84,64.27,72.98,15.57,49.15,20.54,-2.02,9.09,0.12,Micro Cap,Chemicals,Chemicals
Highway Infra,46.79,335.79,8.69,18.76,0.45,4.47,70.04,-16.24,18.8,32.06,4.29,31.78,39.9,0.01,Micro Cap,Construction,Construction
Creative Newtech,738.15,1117.85,17.79,18.75,0.89,46.81,56.62,-11.61,21.38,70.29,3.37,24.77,41.92,0.22,Micro Cap,Information Technology,Information Technology
CEAT,3394.4,13732.54,243.81,18.74,0.65,172.56,47.29,25.13,15.9,748.57,13.06,11.48,52.8,16.55,Small Cap,Automobile and Auto Components,Automobile and Auto Components
Digilogic Systems,123.6,357.84,8.53,18.72,0.04,3.6,64.26,-111.2,14.44,10.2,20.43,11.43,67.26,2.4,Micro Cap,Capital Goods,Capital Goods
Clay Craft India,200.0,411.4,0.0,18.72,0.34,442.76,0.0,180.97,16.81,21.6,24.14,9.69,9.24,0.0,Micro Cap,Consumer Durables,Consumer Durables
Vinyas Innovativ,1397.5,1758.71,21.53,18.7,0.56,24.53,29.4,-44.89,16.13,30.87,11.88,29.92,61.49,0.49,Small Cap,Capital Goods,Capital Goods
Bright Outdoor,374.85,818.04,13.97,18.68,0.0,11.02,69.76,-84.74,13.77,24.05,21.45,18.7,50.18,7.05,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Arman Holdings,110.3,57.47,0.64,18.65,0.0,1.82,24.93,144.59,13.95,0.95,35.57,-4.97,262.16,0.0,Micro Cap,Financial Services,Financial Services
Strides Pharma,1103.4,10161.42,129.28,18.65,0.57,60.34,27.91,20.72,20.44,578.51,19.04,9.62,71.45,28.68,Small Cap,Healthcare,Healthcare
Signoria Creatio,111.1,52.86,2.36,18.61,0.71,8.81,70.05,-18.52,19.51,4.19,19.6,28.31,21.96,0.0,Micro Cap,Textiles,Textiles
Happy Square,44.6,51.74,4.21,18.59,0.17,5.15,60.9,-7.03,22.76,6.21,6.55,27.48,51.38,3.35,Micro Cap,Consumer Services,Consumer Services
Punjab Chemicals,1020.7,1254.91,10.98,18.58,0.36,52.16,39.24,122.44,16.63,65.54,11.47,0.78,2.23,3.01,Small Cap,Chemicals,Chemicals
Hind Rectifiers,1130.0,3893.79,-1.59,18.57,1.17,11.23,43.93,512.15,21.73,40.03,8.42,0.0,0.0,6.38,Small Cap,Capital Goods,Capital Goods
Betex India,484.0,72.61,0.76,18.56,0.28,37.8,53.29,22.25,15.11,5.64,7.05,10.71,21.56,0.0,Micro Cap,Textiles,Textiles
NRB Bearings,429.8,4174.49,42.09,18.56,0.16,14.73,51.2,61.02,15.72,147.81,17.41,8.09,13.53,14.69,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Talbros Auto.,416.05,2564.73,31.62,18.56,0.11,16.87,58.43,91.68,15.14,104.11,15.7,10.37,23.52,0.49,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Eppeltone Ene.,91.1,118.06,6.12,18.54,0.43,9.55,61.78,-6.36,18.94,12.38,14.4,22.91,124.78,0.02,Micro Cap,Power,Power
Aaron Industries,117.38,245.87,2.32,18.53,0.57,3.25,73.07,-34.49,14.84,6.8,19.23,18.11,7.99,0.0,Micro Cap,Capital Goods,Capital Goods
Federal-Mogul Go,449.55,2498.37,50.8,18.52,0.0,30.68,74.98,16.22,13.49,182.44,15.46,6.22,21.55,0.38,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Integra Engg.,213.0,733.25,3.41,18.52,0.2,4.48,54.39,185.97,14.94,15.42,16.91,8.21,-5.36,0.38,Micro Cap,Capital Goods,Capital Goods
Take Solutions,26.62,389.77,4.36,18.51,0.0,0.73,0.0,-62.2,16.53,4.26,-3.52,-34.07,26.97,0.28,Micro Cap,Information Technology,Information Technology
Concord Biotech,1261.9,13223.11,90.02,18.51,0.0,25.17,44.08,82.09,13.87,265.72,35.69,7.34,4.12,7.79,Small Cap,Healthcare,Healthcare
Rukmani Devi Gar,106.45,94.49,4.26,18.51,0.2,10.0,73.23,-42.8,18.73,8.88,3.16,22.91,172.26,0.0,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Khaitan Chemical,55.53,533.21,1.26,18.5,1.05,6.66,72.65,186.17,25.37,65.1,11.34,4.1,20.33,0.34,Micro Cap,Chemicals,Chemicals
Bharti Airtel,1841.1,1122167.16,9247.4,18.5,1.31,43.81,50.07,19.27,21.86,28714.8,56.73,14.88,48.98,26.51,Small Cap,Telecommunications,Telecommunications
U. Y. Fincorp,13.99,262.58,17.44,18.49,0.01,2.54,71.38,-83.15,13.44,48.28,42.03,41.47,84.0,0.06,Micro Cap,Financial Services,Financial Services
Choksi Asia,159.0,90.64,0.75,18.49,0.05,9.35,71.15,-217.51,14.49,5.33,13.77,300.08,135.76,0.0,Micro Cap,Chemicals,Chemicals
Gujarat Gas,335.3,31463.45,151.8,18.49,0.18,24.37,38.94,26.07,13.22,1780.45,12.92,12.11,5.16,10.57,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Aakaar Medical,74.1,105.02,7.42,18.47,0.34,4.69,67.05,-14.02,17.08,6.64,15.41,26.88,45.63,0.0,Micro Cap,Healthcare,Healthcare
Universal Starch,201.0,84.42,9.63,18.45,0.65,31.24,53.86,8.79,17.21,13.12,6.6,-1.79,30.53,0.0,Micro Cap,Chemicals,Chemicals
Kreon Finnancial,66.91,135.3,0.36,18.45,1.03,3.59,55.6,-30.08,21.66,7.26,22.21,59.51,16.6,0.0,Micro Cap,Financial Services,Financial Services
Share India Sec.,134.4,2944.06,58.04,18.41,0.26,14.78,48.61,-17.31,13.02,323.47,38.79,10.54,-0.43,1.54,Micro Cap,Financial Services,Financial Services
Arabian Petrol.,68.0,74.07,5.21,18.41,0.68,10.34,73.45,-13.76,17.64,11.26,4.67,15.66,32.6,0.0,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Quest Laborato.,97.95,160.52,2.87,18.41,0.08,9.17,66.78,-11.84,16.82,15.02,16.31,21.96,43.91,0.61,Micro Cap,Healthcare,Healthcare
Shradha Al Tech,26.1,159.08,2.93,18.4,0.01,1.73,74.66,35.12,13.81,10.55,61.03,53.74,150.65,0.0,Micro Cap,Information Technology,Information Technology
Intec Capital,15.48,28.43,4.92,18.39,0.59,3.76,71.05,2.36,18.17,6.9,111.03,19.3,30.94,0.0,Micro Cap,Financial Services,Financial Services
Allied Blenders,659.5,18452.81,37.62,18.38,0.69,8.16,80.91,-85.26,14.29,229.1,13.83,7.63,422.08,3.23,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Naturewings Hol.,80.49,28.64,0.3,18.38,0.0,4.36,59.49,73.67,14.13,1.55,5.72,37.28,33.6,0.31,Micro Cap,Consumer Services,Consumer Services
GE Shipping Co,1523.2,21752.1,1044.09,18.35,0.06,206.11,30.07,10.66,18.85,2942.52,58.2,-1.68,6.16,28.44,Small Cap,Services,Services
J Kumar Infra,492.45,3728.37,105.49,18.34,0.18,50.69,46.64,12.26,12.33,392.48,14.38,10.65,12.67,12.55,Micro Cap,Construction,Construction
Indian Metals,1315.0,7099.24,103.16,18.34,0.35,78.64,58.69,-107.44,16.75,424.28,20.77,1.83,22.23,3.87,Small Cap,Metals and Mining,Metals and Mining
NESCO,1093.7,7700.89,93.05,18.34,0.09,58.58,68.54,-237.54,14.67,412.74,52.61,19.51,10.46,4.63,Small Cap,Realty,Realty
Sejal Glass,728.5,830.15,11.42,18.33,1.34,25.21,69.95,-32.94,30.35,28.74,15.5,104.4,48.48,0.19,Micro Cap,Consumer Durables,Consumer Durables
H.M. Electro,56.38,77.24,7.38,18.33,0.2,7.12,73.07,-10.44,13.86,9.75,10.94,9.21,17.5,0.0,Micro Cap,Construction,Construction
Chamanlal Setia,291.1,1452.09,38.27,18.32,0.1,23.08,74.05,97.43,14.61,114.78,10.89,1.24,-0.82,3.08,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Gulshan Polyols,191.23,1194.22,37.54,18.31,0.44,17.18,66.8,66.35,16.11,107.32,9.93,25.15,35.26,0.29,Micro Cap,Chemicals,Chemicals
Fineotex Chem,38.26,4452.12,43.8,18.3,0.01,0.93,62.3,9547.24,13.48,108.75,17.45,14.31,7.18,2.92,Micro Cap,Chemicals,Chemicals
Pulz Electronics,24.8,54.09,2.86,18.29,0.01,2.13,68.98,19.61,13.0,4.64,17.89,-9.01,-11.7,0.39,Micro Cap,Capital Goods,Capital Goods
Kalpataru Proj.,1346.1,23024.29,430.6,18.28,0.46,60.9,33.58,39.06,13.7,978.56,8.96,18.38,35.72,10.92,Small Cap,Construction,Construction
Mahanagar Gas,1142.1,11283.33,131.92,18.28,0.03,85.73,32.5,28.68,13.74,846.82,17.61,9.37,2.34,24.13,Small Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Endurance Tech.,2663.2,37483.55,276.45,18.28,0.19,67.66,75.0,82.81,15.41,967.32,13.47,18.35,27.08,13.14,Small Cap,Information Technology,Information Technology
AWL Agri Busine.,182.67,23719.08,293.06,18.28,0.11,8.04,56.94,19.5,10.67,1059.5,2.85,8.7,21.96,21.86,Micro Cap,Agriculture,Agriculture
Timken India,3490.9,26285.45,154.79,18.26,0.0,52.96,51.05,336.2,13.69,398.33,17.89,6.8,0.68,6.96,Small Cap,Automobile and Auto Components,Automobile and Auto Components
TBI Corn,63.5,115.31,8.11,18.26,0.58,10.11,56.47,-11.15,16.6,18.36,11.41,38.09,42.16,0.01,Micro Cap,Agriculture,Agriculture
Linde India,7297.0,62223.5,85.2,18.25,0.02,64.59,75.0,-221.86,13.76,550.87,35.92,-6.89,1.44,2.05,Small Cap,Chemicals,Chemicals
Kirl. Electric,115.0,763.83,-0.63,18.25,0.76,1.26,49.74,22.4,13.13,16.19,6.03,7.56,-12.72,4.02,Micro Cap,Capital Goods,Capital Goods
Tara Chand Infra,56.33,444.02,8.57,18.25,0.93,3.52,71.64,-57.5,20.49,27.72,36.32,26.43,62.92,0.13,Micro Cap,Construction,Construction
Ultra Wiring,101.75,52.95,-0.87,18.25,0.11,6.38,74.13,46.41,14.09,3.32,9.74,13.35,14.53,0.0,Micro Cap,Capital Goods,Capital Goods
Rainbow Child.,1405.5,14275.63,78.22,18.25,0.54,27.4,49.84,101.39,17.93,279.44,31.95,13.22,9.85,17.24,Small Cap,Healthcare,Healthcare
Mach Travel Solutions,135.0,284.0,8.86,18.24,0.05,7.89,72.93,81.23,14.28,16.59,9.68,15.36,25.12,3.21,Micro Cap,Consumer Services,Consumer Services
D B Corp,193.61,3439.12,62.19,18.23,0.11,18.63,74.5,9.33,14.27,332.0,20.73,3.42,24.97,12.05,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Gallantt Ispat L,685.6,16542.22,122.83,18.23,0.17,20.07,70.0,58.22,15.73,484.27,16.21,2.89,50.9,0.09,Micro Cap,Consumer Services,Consumer Services
Brahmaputra Inf.,166.65,483.59,14.78,18.22,0.37,20.53,74.05,-18.75,18.88,59.58,23.65,27.41,76.86,0.0,Micro Cap,Construction,Construction
Marine Electric.,273.0,3820.49,18.57,18.22,0.18,4.17,68.2,-289.7,13.22,59.29,10.77,25.58,52.46,0.59,Micro Cap,Capital Goods,Capital Goods
JFL Life,9.0,59.39,1.66,18.19,0.47,0.97,67.47,-19.08,15.0,6.4,8.91,45.3,31.57,0.0,Micro Cap,Healthcare,Healthcare
Happy Forgings,1528.0,14443.56,83.56,18.19,0.15,31.97,78.48,-4693.38,15.17,301.63,30.44,8.92,13.07,1.73,Small Cap,Automobile and Auto Components,Automobile and Auto Components
Vintage Coffee,149.98,2186.77,21.01,18.18,0.22,4.96,34.65,-31.3,16.55,72.19,18.02,106.41,165.44,4.84,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
WSFX Global,60.6,76.8,0.55,18.17,0.41,4.88,57.45,4.02,15.8,6.14,9.56,31.65,69.99,0.0,Micro Cap,Financial Services,Financial Services
SBC Exports,41.75,1989.05,8.22,18.17,2.83,0.53,50.35,-61.04,37.22,25.27,8.29,21.97,54.07,0.77,Micro Cap,Textiles,Textiles
AccelerateBS Ind,93.1,32.01,-0.04,18.17,1.74,2.5,71.02,306.33,18.18,0.86,26.09,32.0,30.16,0.0,Micro Cap,Information Technology,Information Technology
Bharat Gears,126.07,193.17,5.07,18.16,0.56,10.75,55.33,6.66,13.52,16.5,6.66,0.77,6.89,1.41,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Dolat Algotech,72.17,1270.71,46.81,18.13,0.25,7.32,74.49,89.7,12.09,128.92,56.4,13.09,3.59,0.23,Micro Cap,Financial Services,Financial Services
J.G.Chemicals,423.75,1658.33,18.9,18.13,0.01,16.81,70.99,90.05,13.27,65.88,8.43,7.55,6.67,3.28,Micro Cap,Chemicals,Chemicals
Holmarc Opto,99.75,100.25,3.83,18.12,0.02,4.06,62.69,855.0,14.06,4.08,15.01,13.32,10.67,0.0,Micro Cap,Capital Goods,Capital Goods
Megatherm Indu.,206.75,389.53,11.64,18.1,0.3,12.57,71.85,-239.93,15.81,24.26,9.59,9.2,20.08,0.27,Micro Cap,Capital Goods,Capital Goods
Star Delta Trans,669.2,200.77,4.42,18.09,0.11,39.8,71.69,-29.03,13.22,11.94,9.83,34.37,27.51,0.0,Micro Cap,Capital Goods,Capital Goods
Kewal Kir.Cloth.,494.65,3042.56,34.54,18.08,0.14,23.03,74.29,41.19,16.14,141.9,19.61,15.88,8.33,2.32,Micro Cap,Textiles,Textiles
Lehar Footwears,246.9,436.49,4.14,18.05,0.44,11.79,72.9,80.43,17.02,20.84,9.04,28.63,60.4,0.26,Micro Cap,Consumer Durables,Consumer Durables
Butterfly Gan Ap,643.45,1147.52,11.44,18.02,0.02,25.53,75.0,28.76,13.41,46.78,8.51,-3.71,-3.22,0.01,Micro Cap,Consumer Durables,Consumer Durables
Xchanging Sol.,61.56,685.47,16.24,18.02,0.18,5.34,75.0,27.05,15.75,59.45,33.77,5.17,9.82,0.11,Micro Cap,Information Technology,Information Technology
Garware Hi Tech,6621.5,15403.25,108.21,18.02,0.01,145.59,60.72,84.47,13.45,338.23,20.5,13.81,27.44,3.98,Small Cap,Information Technology,Information Technology
Mastek,1563.0,4847.19,106.15,18.02,0.15,130.33,35.76,11.33,15.57,424.55,15.83,13.0,15.67,8.03,Small Cap,Information Technology,Information Technology
Porwal Auto Comp,48.34,73.0,0.11,18.01,0.09,6.58,40.47,20.39,14.63,9.93,6.83,0.39,124.85,0.0,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Piccadily Agro,564.8,5564.89,44.7,18.01,0.59,13.95,68.57,-59.59,17.39,137.5,22.49,20.15,83.29,0.76,Micro Cap,Agriculture,Agriculture
TBO Tek,1439.9,15633.95,60.1,18.0,0.49,22.5,44.41,139.45,17.65,242.32,13.81,35.99,19.53,29.71,Small Cap,Consumer Services,Consumer Services
Sanjiv.Parant.,153.3,188.32,0.55,18.0,0.3,5.45,31.26,-13.47,15.51,6.69,15.01,0.0,0.0,0.0,Micro Cap,Healthcare,Healthcare
Royal Arc Ele.,149.0,165.39,5.73,17.99,0.0,9.05,72.96,-67.41,13.13,10.05,13.3,6.21,1.02,5.57,Micro Cap,Capital Goods,Capital Goods
Assoc.Alcohols,857.4,1723.19,23.51,17.98,0.1,44.07,62.35,-59.09,14.56,88.48,14.02,13.29,28.2,0.33,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Empire Inds.,1000.35,600.21,18.95,17.98,0.49,85.92,72.55,9.2,15.58,51.85,11.86,2.37,15.04,0.0,Small Cap,Capital Goods,Capital Goods
CWD,318.1,712.6,6.32,17.98,0.71,5.01,58.27,-23.66,12.98,11.12,18.25,86.27,72.94,0.0,Micro Cap,Services,Services
Creative Graphic,144.2,350.21,6.57,17.98,0.61,7.72,68.07,-13.66,17.58,18.76,9.65,56.57,30.05,0.0,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Brisk Technovisi,99.2,19.84,0.59,17.97,0.11,5.1,59.98,160.86,14.0,1.02,5.69,17.96,-18.0,0.0,Micro Cap,Information Technology,Information Technology
G M Breweries,941.5,2151.16,54.07,17.96,0.0,68.64,74.43,791.14,12.52,126.25,24.16,8.01,9.89,1.19,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Choice Intl.,745.2,16577.26,67.84,17.96,0.54,9.77,53.65,-50.8,16.13,217.66,35.75,41.74,53.59,11.41,Micro Cap,Financial Services,Financial Services
Vaxtex Cotfab,1.35,24.81,0.79,17.95,0.23,0.3,0.84,-1.5,27.12,5.53,16.92,-47.14,231.9,11.19,Micro Cap,Textiles,Textiles
Indo Rama Synth.,44.88,1177.04,64.13,17.94,2.18,5.75,74.84,34.46,32.98,152.91,6.35,6.32,106.92,0.24,Micro Cap,Textiles,Textiles
Indigo Paints,1020.6,4869.4,57.34,17.94,0.02,30.5,53.88,72.62,13.43,149.75,18.55,7.41,4.5,7.42,Small Cap,Chemicals,Chemicals
Intl. Travel Hse,315.8,252.46,5.23,17.93,0.01,23.12,61.69,9.98,13.24,22.81,14.64,7.97,-6.33,0.0,Micro Cap,Consumer Services,Consumer Services
Gujarat Peanut,72.1,73.99,4.2,17.93,0.79,7.19,71.0,-7.41,21.15,7.38,2.97,38.11,118.24,0.0,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
TCPL Packaging,2992.4,2737.74,21.17,17.92,0.83,106.79,55.74,43.44,15.56,106.51,16.33,6.63,0.79,1.04,Small Cap,Chemicals,Chemicals
VRL Logistics,234.56,4103.84,72.14,17.92,1.01,13.54,60.24,19.39,21.27,236.83,20.19,6.74,-9.83,2.98,Micro Cap,Services,Services
Ratnamani Metals,2570.2,17961.44,115.9,17.92,0.08,68.85,59.77,54.88,12.64,489.66,16.86,0.15,-1.39,10.6,Small Cap,Metals and Mining,Metals and Mining
Swaraj Suiting,275.4,726.65,24.68,17.92,0.96,20.4,64.95,-9.84,21.74,53.68,19.34,38.06,111.8,0.85,Micro Cap,Textiles,Textiles
Indraprastha Gas,165.45,23153.52,338.75,17.9,0.01,11.07,45.0,36.09,14.01,1549.62,11.4,4.59,-0.94,17.08,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Apollo Hospitals,8655.0,124427.52,551.3,17.89,0.9,135.04,28.02,173.77,22.11,1955.71,14.94,14.94,34.12,42.62,Small Cap,Healthcare,Healthcare
Ritesh Intl.,63.47,59.49,1.05,17.88,0.3,3.93,48.03,1627.14,15.33,4.03,4.26,9.66,43.28,0.0,Micro Cap,Textiles,Textiles
Shree Metalloys,40.85,21.47,0.46,17.88,0.0,2.76,72.0,-360.84,13.44,1.45,2.03,4.3,32.74,0.0,Micro Cap,Metals and Mining,Metals and Mining
Silky Overseas,104.95,66.83,-0.61,17.88,0.42,10.65,60.53,-9.78,16.21,6.78,12.24,16.4,87.41,4.18,Micro Cap,Textiles,Textiles
Shri Balaji,110.5,90.17,5.19,17.87,0.43,10.49,73.53,-27.91,17.61,8.56,16.26,15.81,9.72,0.0,Micro Cap,Capital Goods,Capital Goods
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Micro Cap,Diversified,Diversified
Brooks Lab.,69.93,205.83,1.52,21.46,0.07,8.34,52.62,-251.58,22.27,24.58,8.23,10.7,46.79,0.17,Micro Cap,Healthcare,Healthcare
Lumax Auto Tech.,1503.2,10259.38,87.54,21.45,1.02,40.81,55.95,61.86,26.02,287.63,13.52,38.14,44.11,8.38,Small Cap,Information Technology,Information Technology
HEC Infra Proj.,126.03,137.48,6.1,21.43,0.68,11.63,74.93,-32.87,21.2,12.6,11.42,50.59,151.72,0.0,Micro Cap,Construction,Construction
Chandra Machines,76.84,54.18,1.85,21.4,0.08,5.24,20.97,15.42,15.04,1.69,-1.52,10.46,-2.96,0.0,Micro Cap,Capital Goods,Capital Goods
Prime Fresh,215.0,298.41,3.24,21.39,0.1,9.52,50.75,-31.02,16.35,13.21,7.04,40.23,37.6,0.0,Micro Cap,Agriculture,Agriculture
Navin Fluorine,7486.5,38411.82,212.62,21.37,0.32,129.46,27.11,239.83,20.26,668.68,32.64,16.84,22.15,23.78,Small Cap,Chemicals,Chemicals
T B Z,108.18,1264.88,67.64,21.36,1.06,30.32,74.12,462.0,27.08,202.31,11.27,10.2,71.37,0.28,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
KSH International,850.5,5820.27,34.53,21.36,0.4,16.25,74.56,-42.12,20.13,111.37,6.18,43.59,61.23,5.05,Micro Cap,Services,Services
Gujjubhai Ind.,126.95,265.59,1.78,21.35,0.16,2.48,27.71,-54.52,18.49,5.24,6.13,65.8,31.2,12.89,Micro Cap,Agriculture,Agriculture
Grauer & Weil,73.11,3328.16,49.51,21.35,0.01,3.62,59.03,29.84,16.23,164.02,16.25,5.65,13.07,0.42,Micro Cap,Chemicals,Chemicals
Vesuvius India,465.05,9429.65,55.85,21.34,0.01,12.84,55.57,51493.72,15.02,260.62,17.01,16.16,25.79,4.56,Micro Cap,Chemicals,Chemicals
Vinati Organics,1326.8,13736.77,137.51,21.33,0.0,47.05,74.26,45.45,16.2,487.78,30.89,2.55,5.18,3.72,Small Cap,Chemicals,Chemicals
VA Tech Wabag,1880.1,12448.83,128.0,21.33,0.09,59.46,19.09,55.37,15.08,374.01,12.1,10.04,83.47,18.6,Small Cap,Information Technology,Information Technology
Namo eWaste,301.4,689.22,7.36,21.33,0.03,6.28,69.05,-53.94,14.95,14.35,11.59,0.0,0.0,0.14,Micro Cap,Metals and Mining,Metals and Mining
Vinsys IT Serv.,457.35,674.59,21.4,21.32,0.32,20.26,64.74,-32.85,20.34,29.74,15.85,41.45,25.5,12.01,Micro Cap,Information Technology,Information Technology
Jyoti CNC Auto.,785.45,17889.96,90.57,21.32,0.43,14.77,52.54,-63.29,18.22,336.0,25.17,31.08,156.89,8.95,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
GPT Infraprojects,132.76,1679.15,29.78,21.31,0.49,7.7,59.37,63.5,17.28,97.31,13.5,16.82,46.01,2.72,Micro Cap,Construction,Construction
Vijaya Diagnost.,1311.3,13502.22,47.93,21.29,0.44,16.81,52.51,126.02,19.74,172.98,41.38,21.03,27.26,13.38,Small Cap,Healthcare,Healthcare
P.E. Analytics,218.85,230.58,8.43,21.29,0.0,14.87,75.0,29.5,16.11,15.69,30.86,17.25,14.68,2.11,Micro Cap,Information Technology,Information Technology
Bhatia Communic.,24.98,351.35,4.55,21.28,0.08,1.19,71.22,-66.78,15.16,16.76,4.15,19.98,25.45,4.3,Micro Cap,Services,Services
Lead Reclaim,93.0,80.35,3.1,21.28,0.52,4.73,59.48,-17.73,18.49,4.09,21.4,65.65,70.17,0.0,Micro Cap,Chemicals,Chemicals
BharatRohan Air.,132.45,263.88,5.96,21.28,0.04,5.32,40.27,-16.15,16.93,10.6,16.99,136.34,78.94,0.0,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Gujarat Intrux,441.05,151.52,1.98,21.27,0.0,30.01,58.61,25.16,15.58,10.31,20.35,10.16,21.56,0.0,Micro Cap,Chemicals,Chemicals
Rane Engine,200.89,4347.75,105.92,21.26,0.44,13.79,69.52,-12.99,17.62,287.57,17.24,73.79,173.96,0.56,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Campus Activewe.,232.35,7106.34,44.14,21.25,0.26,4.91,72.1,48.22,18.05,150.09,16.45,8.28,6.07,3.11,Micro Cap,Consumer Durables,Consumer Durables
Curae Lifescien.,102.0,82.46,2.71,21.25,0.46,8.56,68.03,-12.48,21.8,6.93,18.36,19.86,78.43,1.19,Micro Cap,Healthcare,Healthcare
Sundrex Oil,25.5,34.15,2.9,21.24,0.26,3.87,72.01,-10.86,17.57,5.32,7.87,54.2,138.93,0.0,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Alkem Lab,5416.5,64802.4,251.11,21.23,0.15,192.51,51.2,43.04,18.88,2436.01,20.43,8.25,31.5,10.15,Small Cap,Healthcare,Healthcare
Antelopus Selen,808.9,2842.35,39.08,21.22,0.01,25.48,68.94,-75.87,15.83,89.61,56.87,33.22,42.68,0.26,Micro Cap,Healthcare,Healthcare
Siemens,3573.1,127133.28,370.4,21.22,0.02,77.27,75.0,85.43,16.26,2374.29,11.37,15.47,15.89,6.8,Small Cap,Capital Goods,Capital Goods
Elantas Beck,10619.5,8441.67,31.08,21.21,0.0,184.16,75.0,185.35,15.73,146.0,20.28,9.56,18.11,0.04,Mid Cap,Chemicals,Chemicals
Jasch Gauging,493.15,223.49,2.8,21.21,0.0,32.52,57.63,-258.04,15.66,14.74,26.18,-4.61,-4.58,0.0,Micro Cap,Chemicals,Chemicals
Aries Agro,336.0,438.02,-4.79,21.2,0.17,32.85,52.66,8.3,13.74,42.05,11.0,16.02,35.89,3.25,Micro Cap,Agriculture,Agriculture
Emerald Finance,53.19,103.72,4.35,21.2,0.18,4.19,58.7,-15.16,15.8,14.47,74.37,39.35,60.04,1.78,Micro Cap,Financial Services,Financial Services
Balaji Poly.,200.0,428.09,13.32,21.18,0.18,12.3,74.07,-21.61,20.83,23.83,13.59,9.11,78.64,2.42,Micro Cap,Chemicals,Chemicals
Blue Star,1635.5,33642.68,227.18,21.17,0.24,25.66,36.49,10541.03,17.14,556.8,7.5,15.85,25.41,13.8,Small Cap,Consumer Durables,Consumer Durables
Maruti Interior,62.84,378.55,7.47,21.17,0.58,1.73,66.72,-534.58,25.56,10.43,12.78,11.6,37.07,0.0,Micro Cap,Consumer Durables,Consumer Durables
